sha,author,date,message
36a815745efd8e3fbda8d0a18fba1beb767f113e,en3rypt,2022-06-08 15:56:16+00:00,Merge branch 'master' into dup
f4b92a0a6c23ccf6974bb954b8afabef84b6cb71,en3rypt,2022-06-08 15:54:33+00:00,create page update
b56d1aca3759b583d5e3c6b82db72bb4b435d418,en3rypt,2022-06-08 15:36:50+00:00,"Merge pull request #11 from en3rypt/jass2

Jass2"
77efcc84232ad4f24719c6d3094224ccc6f16b90,en3rypt,2022-06-08 15:14:00+00:00,user join inbetwen update
7a1e1e18debf648c8e71e58d561a992249a5ddc6,jassuwu,2022-06-08 15:10:08+00:00,change ejs
0013b922aed532f00ef83af57ac759d8ebbb78d6,jassuwu,2022-06-08 15:09:36+00:00,change create.ejs
f59751ca3afd690c49c42091cac14fcfc5458347,en3rypt,2022-06-08 14:31:27+00:00,merge conflicts update
fc57501973175abb25204963e9aef99966477a75,en3rypt,2022-06-08 14:11:58+00:00,"Merge pull request #10 from en3rypt/dup

Dup"
35b6b457fab613b58c6408b466b38bf60161f7a0,en3rypt,2022-06-08 14:09:49+00:00,"Merge pull request #9 from en3rypt/3ncrypt

3ncrypt"
181407220ad1e2233b634e11356e7fafb2836553,en3rypt,2022-06-08 14:09:43+00:00,Merge branch 'dup' into 3ncrypt
755bf70a2524e703eeeb3698ac587c12400bbd39,en3rypt,2022-06-08 14:00:47+00:00,"match timer,countdown, name update"
ff5c64186d89eeb1e22b49d1e7c51e15f692ce8b,jassuwu,2022-06-08 11:34:31+00:00,update to countdown
fd5a8e2b7cf54ff26946d5e2f1e7db7bc21a3144,en3rypt,2022-06-08 11:13:16+00:00,update player name indication
a17e756fd066476802930fe48e19220723322064,jassuwu,2022-06-08 11:06:53+00:00,add countdown on the racetrack
977e586894824f04aad86b6843d83b0682efbc41,en3rypt,2022-06-08 10:35:24+00:00,position update
53c4eb88fad30fe066d95cafa8e428f168c1fbce,jassuwu,2022-06-08 09:59:02+00:00,Merge branch 'jass' of https://github.com/en3rypt/type-racer into jass
d5be35885350cd419a11ee902a866e0db64a217e,en3rypt,2022-06-08 09:56:34+00:00,some update
b9d4022b8f34042661f9c7f3fa8c08b6339ebb66,en3rypt,2022-06-08 09:29:52+00:00,progress bar constant if new user join during game
2b06e549d809db2cab72407eb9824bcc25747e5e,en3rypt,2022-06-08 04:35:20+00:00,progess id update
8da9633bebfca38dbd779e342dacdf98ff27882e,en3rypt,2022-06-08 04:24:41+00:00,update
4b91e00d5f515e11b0e0e09d53354e89703b6c5b,jassuwu,2022-06-08 04:17:00+00:00,start timer change
3c8f20cc8e56abfb360e982dc5cef6b889f1125f,jassuwu,2022-06-08 03:00:44+00:00,"master <=  jass 

add completion and time-up acknowldgement"
e83b0fdd5cb19d69087d697ae4cb8724cea8cdd0,jassuwu,2022-06-08 02:00:08+00:00,add completion and time-up acknowldgement
9f345f1687c091bfff2218852ab46c8d26db2b60,en3rypt,2022-06-07 15:58:01+00:00,Merge branch 'master'
b2eb9728525dcfbf62be7e7e409905954eab443a,en3rypt,2022-06-07 15:52:56+00:00,progressBroadcast update
f14e7861dac6fa9f897e75b2fe9c0ea5cdef7573,jassuwu,2022-06-07 15:12:04+00:00,"master <=  jass : add restart btn to races

add restart typing btn for races"
bbfa05d2a542498606e0734947dd6e72ea281ea7,jassuwu,2022-06-07 15:10:52+00:00,add restart typing btn for races
0201839f4721d20ef35969496a8e3025e6194c55,jassuwu,2022-06-07 14:51:58+00:00,add RealTime progress
e6a9399a3f23752674ff569a0cf6a17153aad1b7,en3rypt,2022-06-07 11:21:32+00:00,room creation and operations
149d585251feffd14a22f3a959751cf6734ee772,jassuwu,2022-06-06 16:05:15+00:00,"Merge pull request #5 from en3rypt/jass

jass <= master"
b0ce92bc1acc6a9396b056aa988aec9c9d16754c,jassuwu,2022-06-06 16:00:40+00:00,"jass <= master

jass <= master"
28227ef89f4eba11213ee15200a72ee0a3a680ca,en3rypt,2022-06-06 15:53:49+00:00,rooms try
e960822c9f6de3ad0593d0a1e706e2cb48ffb29a,en3rypt,2022-06-06 12:16:51+00:00,"Merge pull request #3 from en3rypt/en3rypt

En3rypt"
a2e6b50440bbd77752dcc602797306bc5d768465,en3rypt,2022-06-06 12:06:58+00:00,race update
3a8740ee1927be392a5c2998189225d635fdd5bc,en3rypt,2022-06-06 11:53:09+00:00,socket io progress
87f2dff83ea84927732859e3a7a4b763051d2405,en3rypt,2022-06-06 10:25:30+00:00,"div height, progress bar fix"
