number,title,author,created_at,closed_at,state,review_comments,additions,deletions,review_cycle_time
8,exec copilot init,takahiro-ishitsuka-biz,2023-03-30 15:05:01+00:00,2023-03-30 15:05:35+00:00,closed,0,78,0,0
6,fix(example-app): fix 404 on example-app path,dannyrandall,2022-08-16 20:16:46+00:00,2022-08-26 17:27:25+00:00,closed,0,1,0,9
4,Update copilot init command in Readme,yysu,2021-04-30 16:34:23+00:00,2021-04-30 20:16:22+00:00,closed,0,4,4,0
3,chore: change the base image to main nginx,iamhopaul123,2021-03-12 19:39:08+00:00,2021-03-12 19:40:16+00:00,closed,0,1,1,0
2,fix: docker-hub-download-limits,neilkuan,2021-02-08 03:15:24+00:00,2021-02-17 19:28:36+00:00,closed,0,1,1,9
